id_candidato,cidade,indice_desenvolvimento_cidade,genero,experiencia_relevante,inscricao_universidade,nivel_educacao,area_formacao,anos_experiencia,dimensao_empresa,tipo_empresa,anos_desde_ultimo_emprego,horas_formacao,procura_mudanca_emprego
"760695,Zona_049,0.91,,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",6 anos,500 a 999,Empresa privada,1 ano,21,Não"
789493,Zona_006,0.92,Feminino,Com experiência relevante,Não inscrito,Mestrado,Humanidades,Mais de 20 anos,100 a 500,Startup financiada,2 anos,74,Não
"211612,Zona_007,0.924,,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",9 anos,10 a 49,Empresa privada,1 ano,94,Não"
"521686,Zona_065,0.624,Masculino,Com experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",15 anos,10000 ou mais,Empresa privada,1 ano,75,Não"
"146611,Zona_030,0.698,Masculino,Sem experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",12 anos,500 a 999,ONG,1 ano,157,Não"
876389,Zona_086,0.8959999999999999,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,,13 anos,1000 a 4999,Setor público,2 anos,59,Não
"849378,Zona_006,0.92,Masculino,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,50 a 99,Empresa privada,Mais de 4 anos,56,Sim"
"751004,Zona_006,0.92,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",6 anos,,,1 ano,220,Não"
"630471,Zona_023,0.479,,Com experiência relevante,Curso a tempo inteiro,Doutoramento,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,10000 ou mais,Empresa privada,Mais de 4 anos,44,Não"
494403,Zona_056,0.878,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,,6 anos,Menos de 10,Empresa privada,3 anos,12,Não
"400341,Zona_086,0.8959999999999999,Masculino,Com experiência relevante,Não inscrito,Doutoramento,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,50 a 99,Empresa privada,Nunca,222,Não"
"685850,Zona_006,0.92,Masculino,Com experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,,,Mais de 4 anos,55,Sim"
130451,Zona_023,0.479,Masculino,Sem experiência relevante,Curso a tempo inteiro,Mestrado,Outro,1 ano,10 a 49,Outro,,23,Sim
"220575,Zona_065,0.624,,Com experiência relevante,Curso a tempo inteiro,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",2 anos,10 a 49,Setor público,2 anos,80,Não"
"593685,Zona_049,0.91,Masculino,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,50 a 99,Empresa privada,4 anos,25,Não"
"142295,Zona_101,0.795,,Com experiência relevante,Curso a tempo inteiro,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",10 anos,50 a 99,,1 ano,29,Não"
"202621,Zona_102,0.754,,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",7 anos,100 a 500,Empresa privada,1 ano,100,Não"
"827782,Zona_003,0.887,Masculino,Sem experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",10 anos,,,2 anos,24,Sim"
770908,Zona_049,0.91,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,,Mais de 20 anos,,,1 ano,40,Não
"988342,Zona_067,0.698,Masculino,Com experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,100 a 500,Empresa privada,1 ano,30,Não"
"390842,Zona_044,0.698,Feminino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",8 anos,1000 a 4999,Setor público,1 ano,94,Sim"
"955397,Zona_005,0.804,,Com experiência relevante,Não inscrito,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",9 anos,,,2 anos,25,Sim"
"996447,Zona_065,0.624,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,""Ciência, Tecnologia, Engenharia e Matemática"",3 anos,50 a 99,Empresa privada,1 ano,100,Sim"
"921444,Zona_015,0.789,Feminino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",3 anos,,,Nunca,16,Sim"
"947611,Zona_115,0.925,,Sem experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",1 ano,50 a 99,Empresa privada,1 ano,98,Não"
573394,Zona_070,0.848,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Outro,3 anos,50 a 99,Empresa privada,Nunca,32,Não
"862884,Zona_006,0.92,Masculino,Com experiência relevante,Não inscrito,Licenciatura,""Ciência, Tecnologia, Engenharia e Matemática"",Mais de 20 anos,5000 a 9999,Empresa privada,Mais de 4 anos,78,Não"
